# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1900.00,1000.00,1.00,0.79,1000.00,1010.42,1910.42,1000.00,27.41,1.02e-01
2000.00,1000.00,1.00,0.79,1000.00,1010.07,2010.07,1000.00,27.40,1.02e-01
1100.00,1100.00,1.00,0.79,1100.00,1113.69,1113.69,1100.00,28.04,7.59e-02
1200.00,1100.00,1.00,0.79,1100.00,1113.10,1213.10,1100.00,27.52,1.04e-01
1300.00,1100.00,1.00,0.79,1100.00,1112.56,1312.56,1100.00,27.41,1.09e-01
1400.00,1100.00,1.00,0.79,1100.00,1112.07,1412.07,1100.00,27.39,1.12e-01
1500.00,1100.00,1.00,0.79,1100.00,1111.61,1511.61,1100.00,27.36,1.14e-01
1600.00,1100.00,1.00,0.79,1100.00,1111.18,1611.18,1100.00,27.34,1.16e-01
1700.00,1100.00,1.00,0.79,1100.00,1110.78,1710.78,1100.00,27.34,1.18e-01
1800.00,1100.00,1.00,0.79,1100.00,1110.42,1810.42,1100.00,27.33,1.19e-01
1900.00,1100.00,1.00,0.79,1100.00,1110.07,1910.07,1100.00,27.31,1.20e-01
2000.00,1100.00,1.00,0.79,1100.00,1109.75,2009.75,1100.00,27.31,1.21e-01
1200.00,1200.00,1.00,0.79,1200.00,1212.56,1212.56,1200.00,27.97,8.76e-02
1300.00,1200.00,1.00,0.79,1200.00,1212.07,1312.07,1200.00,27.47,1.22e-01
1400.00,1200.00,1.00,0.79,1200.00,1211.61,1411.61,1200.00,27.33,1.28e-01
